smbh_mass,bulge_mass,bulge_gas_frac,galaxy_mass,bulge_index,params_index,galaxy_index
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,0,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,0,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,1,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,1,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,2,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,2,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,3,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,3,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,4,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,4,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,5,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,5,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,6,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,6,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,7,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,7,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,8,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,8,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,9,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,9,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,10,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,10,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,11,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,11,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,12,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,12,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,13,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,13,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,14,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,14,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,15,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,15,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,16,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,16,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,17,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,17,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,18,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,18,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,19,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,19,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,20,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,20,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,21,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,21,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,22,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,22,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,23,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,23,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,24,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,24,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,25,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,25,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,26,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,26,0
507253763.5737949,239483323238.19778,0.1,3365.033625808572,0,27,0
507253763.5737949,66283702448.17216,0.1,3365.033625808572,1,27,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,28,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,28,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,29,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,29,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,30,0
507253763.5737949,66283702448.17216,0.225,3365.033625808572,1,30,0
507253763.5737949,239483323238.19778,0.225,3365.033625808572,0,31,0
